station_key,station_id,name,road_name,intersection,lga,suburb,post_code,device_type,wgs84_latitude,wgs84_longitude
56795,24213,Canterbury Road,Canterbury Road,Charles Street,Canterbury,Canterbury,2193.0,Trafficorder Loop Counter,-33.913277,151.11734
56716,20075,City West Link Road,City West Link Road,The Crescent,Leichhardt,Lilyfield,2040.0,Excel Lpl,-33.871185,151.172668
57357,7150RLC,Showground Road,Showground Road,Victoria Avenue,The Hills,Castle Hill,2154.0,Tirtl,-33.724926,150.977097
57518,86008,Great Western Highway,Great Western Highway,Bridge Street,Penrith,Werrington,2747.0,Trafficorder Dual Tube Classifier,-33.769199,150.761856
56873,33026,Penshurst Street,Penshurst Street,Warrah Lane,Willoughby,Chatswood,2067.0,Excel Lpl,-33.788738,151.193848
56891,34028,Burnt Bridge Creek Deviation,Burnt Bridge Creek Deviation,Brook Road,Manly,Balgowlah,2093.0,Excel Lpl,-33.793015,151.253708
99990004,7123-PR,Pages Road,Pages Road,Great Western Highway,Penrith,St Marys,2760.0,Tirtl,-33.769588,150.768738
56836,28119,Western Motorway,Western Motorway,Parramatta Road,Auburn,Sydney Olympic Park,2127.0,Trafficorder Loop Counter,-33.856541,151.068039
55307,01011,Cahill Expressway,Cahill Expressway,Pitt Street,Sydney,Sydney,2000.0,Trafficorder Loop Counter,-33.86129,151.209854
56800,24221,Bexley Road,Bexley Road,South Western Motorway,Canterbury,Kingsgrove,2208.0,Trafficorder Loop Counter,-33.935444,151.111282
56976,43240,Canterbury Road,Canterbury Road,Stacey Street,Bankstown,Bankstown,2200.0,Trafficorder Loop Counter,-33.933296,151.039734
57369,72028,Castle Hill Road,Castle Hill Road,Franklin Road,Hornsby,Cherrybrook,2126.0,Excel Lpl,-33.738117,151.033081
55355,02273,Broadway,Broadway,Derwent Lane,Sydney,Glebe,2037.0,Trafficorder Dual Tube Classifier,-33.884663,151.192276
57456,76001,Pacific Highway,Pacific Highway,Brooklyn Road,Hornsby,Cowan,2081.0,Trafficorder Loop Counter,-33.541714,151.198547
56820,28008,Centenary Drive,Centenary Drive,Richmond Road,Strathfield,Homebush West,2140.0,Excel Ll,-33.86327,151.066605
58872,F3FWY003,Pacific Motorway,Pacific Motorway,Peat Street,Hornsby,Cowan,2081.0,Tirtl,-33.560299,151.192551
15334029,T0337,Galston Road,Galston Road,Calderwood Road,Hornsby,Galston,2159.0,Tirtl,-33.654926,151.060974
57271,68207,Freame Street,Freame Street,Hart Drive,Holroyd,Wentworthville,2145.0,Trafficorder Dual Tube Classifier,-33.806152,150.970047
56819,28001,Western Motorway,Western Motorway,Bedford Road,Strathfield,Homebush,2140.0,Trafficorder Loop Counter,-33.859497,151.076492
56814,27143,Parramatta Road,Parramatta Road,Telopea Avenue,Strathfield,Homebush West,2140.0,Trafficorder Dual Tube Classifier,-33.85709,151.066177
57457,76010,Pacific Highway,Pacific Highway,Berowra Waters Road,Hornsby,Cowan,2081.0,Trafficorder Loop Counter,-33.607269,151.160721
57085,51213,Victoria Road,Victoria Road,Ryedale Road,Ryde,West Ryde,2114.0,Trafficorder Loop Counter,-33.808025,151.089996
57053,50260,Silverwater Road,Silverwater Road,River Road,Parramatta,Rydalmere,2116.0,Tirtl,-33.819763,151.05188
56846,30011,Victoria Road,Victoria Road,Byrnes Street,Leichhardt,Rozelle,2039.0,Excel Lpl,-33.860798,151.164291
15934006,T0294,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,Tirtl,-33.615574,150.272995
15334001,7248,Stacey Street,Stacey Street,Hume Highway,Bankstown,Bankstown,2200.0,Tirtl,-33.906151,151.040207
57143,55052,Wakehurst Parkway,Wakehurst Parkway,Dreadnought Road,Warringah,Oxford Falls,2100.0,Excel Lpl,-33.737915,151.244888
15934009,T0297,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,Tirtl,-33.618145,150.274261
57365,72022,Castle Hill Road,Castle Hill Road,Old Northern Road,Hornsby,Castle Hill,2154.0,Trafficorder Loop Counter,-33.730938,151.017548
57051,50240,Briens Road,Briens Road,Old Windsor Road,Parramatta,Northmead,2152.0,Tirtl,-33.796436,150.987595
99990013,9834-PR,Kingsway,Kingsway,Sylvania Road,Sutherland,Miranda,2228.0,Tirtl,-34.033203,151.092529
15252035,7274,Great Western Highway,Great Western Highway,Carlisle Avenue,Blacktown,Minchinbury,2770.0,Tirtl,-33.779202,150.814102
