station_key,station_id,name,road_name,intersection,lga,suburb,post_code,wgs84_latitude,wgs84_longitude,poi_food_count_500m,poi_education_count_500m,poi_healthcare_count_500m,poi_public_transport_count_500m,poi_leisure_count_500m,poi_tourism_count_500m,poi_shop_count_500m,poi_data_missing
57012,49002,Parramatta Road,Parramatta Road,Harbord Street,Auburn,Auburn,2144.0,-33.835732,151.023056,3,0,0,5,0,1,11,False
57453,74453,Epping Road,Epping Road,Bridge Street,Parramatta,Epping,2121.0,-33.773907,151.082626,27,4,12,35,57,1,29,False
57358,7159RLC,Cambridge Street,Cambridge Street,Joseph Street,Fairfield,Canley Heights,2166.0,-33.888176,150.922974,3,1,0,11,7,1,2,False
15648001,7179,Jersey Road,Jersey Road,Old Prospect Road,Holroyd,South Wentworthville,2145.0,-33.817272,150.962784,4,1,0,14,10,2,3,False
57503,85019,Camden Valley Way,Camden Valley Way,Heath Road,Camden,Leppington,2179.0,-33.976528,150.808868,0,0,0,0,0,0,0,True
15934015,T0485,Great Western Highway,Great Western Highway Hvcs,Carawatha Road,Blue Mountains,Blackheath,2785.0,-33.616264,150.273102,0,0,0,0,0,0,0,True
55411,02396,King Street,King Street,Newman Street,Marrickville,Newtown,2042.0,-33.898334,151.178238,92,4,9,17,24,15,77,False
57423,74077,Junction Road,Junction Road,Edgeworth David Avenue,Hornsby,Wahroonga,2076.0,-33.708252,151.116745,0,1,0,19,75,0,0,False
57234,66021,Woodville Road,Woodville Road,Allowrie Road,Fairfield,Villawood,2163.0,-33.888622,150.97377,0,1,0,17,3,0,0,False
57439,74228,New Line Road,New Line Road,Tennyson Close,Hornsby,Cherrybrook,2126.0,-33.723019,151.036606,0,1,0,16,133,0,0,False
57094,51233,Epping Road,Epping Road,Yarwood Street,Ryde,Marsfield,2122.0,-33.774441,151.103638,0,1,0,10,16,0,1,False
55394,02385,Regent Street,Regent Street,James Street,Sydney,Redfern,2016.0,-33.889572,151.201599,100,7,6,41,69,42,90,False
56715,20067,City-West Link Road,City-West Link Road,Boomerang Street,Ashfield,Haberfield,2045.0,-33.869892,151.145019,1,0,0,10,10,1,0,False
56744,23001,Princes Highway,Princes Highway,Brodie Spark Drive,Rockdale,Wolli Creek,2205.0,-33.929401,151.156433,19,0,3,21,96,10,6,False
57041,50183,Briens Road,Briens Road,Kleins Road,Parramatta,Northmead,2152.0,-33.793552,150.993912,6,1,1,10,6,0,15,False
57155,57011,Mona Vale Road,Mona Vale Road,Forest Way,Warringah,Belrose,2085.0,-33.701229,151.211594,7,1,1,7,19,1,31,False
57097,52014,Lane Cove Road,Lane Cove Road,Ryde Road,Ku-Ring-Gai,West Pymble,2073.0,-33.775299,151.135406,0,0,0,4,10,15,1,False
57108,53018,Pacific Highway,Pacific Highway,Telegraph Road,Ku-Ring-Gai,Pymble,2073.0,-33.742207,151.139358,1,2,3,13,66,0,4,False
57005,47024,Parramatta Road,Parramatta Road,Junction Street,Auburn,Auburn,2144.0,-33.83889,151.029022,4,0,0,15,2,0,18,False
15252028,7112,Silverwater Road,Silverwater Road,Western Motorway,Auburn,Auburn,2144.0,-33.843338,151.043411,4,2,0,13,5,0,7,False
57264,68020,Church Street,Church Street,Meehan Street,Holroyd,Granville,2142.0,-33.826282,151.004715,2,2,1,12,9,0,26,False
56658,16088,Foreshore Road,Foreshore Road,Fremlins Lane,Botany Bay,Botany,2019.0,-33.958763,151.203247,1,0,0,5,16,1,0,False
57367,72026,Old Northern Road,Old Northern Road,Ambleside Drive,The Hills,Castle Hill,2154.0,-33.744923,150.996368,1,5,2,19,70,0,0,False
55322,02038,Cleveland Street,Cleveland Street,Pitt Street,Sydney,Surry Hills,2010.0,-33.889385,151.203934,90,8,4,18,62,35,69,False
57359,7161RLC,Pennant Hills Road,Pennant Hills Road,Beecroft Road,Hornsby,Pennant Hills,2120.0,-33.740406,151.060989,0,1,0,11,93,0,0,False
55425,02414,Pyrmont Street,Pyrmont Street,Murray Street,Sydney,Pyrmont,2009.0,-33.872505,151.196762,66,3,7,41,50,35,49,False
56856,32012,Burns Bay Road,Burns Bay Road,Martin Street,Lane Cove,Linley Point,2066.0,-33.829678,151.146133,4,1,2,8,12,5,4,False
57186,62001,Hume Highway,Hume Highway,Kendall Drive,Liverpool,Casula,2170.0,-33.956684,150.891098,7,1,0,17,8,2,9,False
57342,71082,Carlisle Avenue,Carlisle Avenue,Beames Avenue,Blacktown,Mount Druitt,2770.0,-33.769043,150.816498,0,0,0,4,0,0,0,False
58690,984FDSC,The Boulevarde,The Boulevarde,Strathfield Avenue,Strathfield,Strathfield,2135.0,-33.877594,151.093262,19,6,4,19,193,0,10,False
